idProducto,producto,precio,"precio * 1.04"
1,"iPhone 15 128GB Negro",1699999.00,1767998.9600
2,"iPhone 15 Pro 256GB Titanio",2299999.00,2391998.9600
3,"MacBook Air M2 8GB 256GB",2499999.00,2599998.9600
4,"MacBook Pro M3 16GB 512GB",3899999.00,4055998.9600
5,"iPad Air 11" M2 64GB WiFi",1299999.00,1351998.9600
6,"Apple Watch Series 9 45mm",899999.00,935998.9600
7,"AirPods Pro 2da Generación",649999.00,675998.9600
8,"Samsung Galaxy S24 256GB",1499999.00,1559998.9600
9,"Samsung Galaxy Tab S9 128GB",999999.00,1039998.9600
10,"Samsung Smart TV 55" QLED 4K",1199999.00,1247998.9600
11,"Sony WH-1000XM5",699999.00,727998.9600
12,"Sony WF-1000XM5",499999.00,519998.9600
13,"Sony Bravia XR 65" OLED 4K",2799999.00,2911998.9600
14,"LG OLED 55" C3 4K",2199999.00,2287998.9600
15,"LG Monitor 27" UltraFine 4K",749999.00,779998.9600
16,"Philips Hue Starter Kit",299999.00,311998.9600
17,"JBL Charge 5",299999.00,311998.9600
18,"JBL Flip 6",189999.00,197598.9600
19,"JBL Tune 770NC",249999.00,259998.9600
20,"Bose QuietComfort 45",649999.00,675998.9600
21,"Bose SoundLink Flex",349999.00,363998.9600
22,"Xiaomi Redmi Note 13 128GB",429999.00,447198.9600
23,"Xiaomi Mi Band 8",89999.00,93598.9600
24,"Motorola Edge 40 256GB",699999.00,727998.9600
25,"Motorola Moto G84 256GB",379999.00,395198.9600
26,"HP Victus 15 Ryzen 5 16GB 512GB",1199999.00,1247998.9600
27,"HP LaserJet Pro M404dn",599999.00,623998.9600
28,"Dell XPS 15 i7 32GB 1TB",3299999.00,3431998.9600
29,"Dell Monitor S2722QC 27" 4K",549999.00,571998.9600
30,"Lenovo IdeaPad 5 i5 8GB 512GB",899999.00,935998.9600
31,"Lenovo Tab P12 256GB",749999.00,779998.9600
32,"Asus ROG Zephyrus G14 RTX 4060",2899999.00,3015998.9600
33,"Asus ProArt PA279CRV 27" 4K",899999.00,935998.9600
34,"Logitech MX Master 3S",199999.00,207998.9600
35,"Logitech MX Keys S",249999.00,259998.9600
36,"Logitech G Pro X Superlight 2",299999.00,311998.9600
37,"Anker PowerCore 26800mAh",149999.00,155998.9600
38,"Anker Cable USB-C a Lightning MFi 1m",29999.00,31198.9600
39,"Anker 737 Cargador 120W GaN",129999.00,135198.9600
40,"Sennheiser HD 560S",449999.00,467998.9600
41,"Sennheiser Momentum 4 Wireless",699999.00,727998.9600
42,"Pioneer DJ DDJ-400",699999.00,727998.9600
43,"Pioneer Stereo A-10",599999.00,623998.9600
44,"Harman Kardon Onyx Studio 8",549999.00,571998.9600
45,"Marshall Emberton III",299999.00,311998.9600
46,"Marshall Acton III",799999.00,831998.9600
47,"Epson EcoTank L3250",349999.00,363998.9600
48,"Epson EF-21 Mini Proyector",699999.00,727998.9600
49,"Apple Magic Keyboard Touch ID ES",299999.00,311998.9600
50,"Apple MagSafe Charger 2m",79999.00,83198.9600
